audio_filename,extracted_text
captcha_0108.wav,WskuLQ
captcha_0109.wav,HIfLDF
captcha_0110.wav,muuoNp
captcha_0111.wav,IhbZhR
captcha_0112.wav,fUo67h
captcha_0113.wav,L8zz4L
captcha_0114.wav,r323Hu
captcha_0115.wav,E9MepT
captcha_0116.wav,XVxDXk
captcha_0117.wav,BhCq3B
captcha_0118.wav,bPHyZd
captcha_0119.wav,YKZBJX
captcha_0120.wav,JhHzFO
captcha_0121.wav,9VliqR
captcha_0122.wav,NKiKik
captcha_0123.wav,QIbBQV
captcha_0124.wav,qmYkky
captcha_0125.wav,MimPDx
captcha_0126.wav,VDggSF
captcha_0127.wav,BFaHSd
captcha_0128.wav,NZNJhj
captcha_0129.wav,OPMeVx
captcha_0130.wav,igwKGU
captcha_0131.wav,fSOFL2
captcha_0132.wav,hzzGxc
captcha_0133.wav,XGfuSB
captcha_0134.wav,NQWZ9f
captcha_0135.wav,gwea Je
captcha_0136.wav,3aqHrb
captcha_0137.wav,2DBOI1
captcha_0138.wav,exBs48
captcha_0139.wav,dokmQs
captcha_0140.wav,AyiivH
captcha_0141.wav,tFQhXE
captcha_0142.wav,sSew9s
captcha_0143.wav,khfLbu
captcha_0144.wav,Rsn3Gl
captcha_0145.wav,zZYgd2
captcha_0146.wav,douT1N
captcha_0147.wav,fSvc2R
captcha_0148.wav,Mqfczc
captcha_0149.wav,iMRDrw
captcha_0150.wav,yRAUyA
captcha_0151.wav,YZ9RYI
captcha_0152.wav,MRipMR
captcha_0153.wav,WSX9HC
captcha_0154.wav,t4klLC
captcha_0155.wav,hYipAR
captcha_0156.wav,Lab4pU
captcha_0157.wav,ODCreM
captcha_0158.wav,HBANAN
captcha_0159.wav,UBSQMf
captcha_0160.wav,XEIoUl
captcha_0161.wav,saQjc3
captcha_0162.wav,pfosbn
captcha_0163.wav,sRUrF3
captcha_0164.wav,OUBi p
captcha_0165.wav,o6ZLab
captcha_0166.wav,Is9Que
captcha_0167.wav,Hiae3L
captcha_0168.wav,Zuavsu
captcha_0169.wav,SUHkys
captcha_0170.wav,OtSR92
captcha_0171.wav,IBomog
captcha_0172.wav,pe4Paw
captcha_0173.wav,qZpjsB
captcha_0174.wav,yRSHHo
captcha_0175.wav,04aq2Z
captcha_0176.wav,9ReKRt
captcha_0177.wav,VDOHTL
captcha_0178.wav,TqsQAv
captcha_0179.wav,AucWsM
captcha_0180.wav,IlnJIQ
captcha_0181.wav,vlYhU
captcha_0182.wav,buYzGR
captcha_0183.wav,9JYnlm
captcha_0184.wav,9hkTW4
captcha_0185.wav,BcNtLJ
captcha_0186.wav,8bdi9p
captcha_0187.wav,fx3gs5
captcha_0188.wav,Ogkv8s
captcha_0189.wav,IrqZpy
captcha_0190.wav,bmlDZs
captcha_0191.wav,ZBDXDV
captcha_0192.wav,FZ6cCn
captcha_0193.wav,EFJL7O
captcha_0194.wav,pMvOCU
captcha_0195.wav,CtVkok
captcha_0196.wav,SFawyz
captcha_0197.wav,sYz4PI
captcha_0198.wav,271Gqy
captcha_0199.wav,YT4jew
captcha_0200.wav,RxLLLn
captcha_0201.wav,bjIBYE
captcha_0202.wav,bMZXbg
captcha_0203.wav,j8b8Nz
captcha_0204.wav,K8lqlu
captcha_0205.wav,6gZHZN
captcha_0206.wav,UNDear
captcha_0207.wav,CcWRWX
captcha_0208.wav,KiRsyz
captcha_0209.wav,xZiqUlv
captcha_0210.wav,PhIKNs
captcha_0211.wav,GuETMe
captcha_0212.wav,91Nqlu
captcha_0213.wav,smgOXx
captcha_0214.wav,igrmOB
captcha_0215.wav,LfwfY4
captcha_0216.wav,Syrfcy
captcha_0217.wav,cXOylb
captcha_0218.wav,pZSPco
captcha_0219.wav,KDEal5
captcha_0220.wav,AtBsBp
captcha_0221.wav,RORFJ7
captcha_0222.wav,w3VyHh
captcha_0223.wav,OWGbUA
captcha_0224.wav,ZXwQHU
captcha_0225.wav,a?TUxe
captcha_0226.wav,IgKAvP
captcha_0227.wav,MYUZZ
captcha_0228.wav,gCxNje
captcha_0229.wav,HLyFbK
captcha_0230.wav,Th1WyH
captcha_0231.wav,YoVfao
captcha_0232.wav,uUnAfc_
captcha_0233.wav,rbeONs
captcha_0234.wav,dsefy6
captcha_0235.wav,ITcAhr
captcha_0236.wav,VY6RzC
captcha_0237.wav,vJPtP3
captcha_0238.wav,AddBoO
captcha_0239.wav,WFAAON
captcha_0240.wav,Cazbzc
captcha_0241.wav,pQtpo8
captcha_0242.wav,03rSGK
captcha_0243.wav,YvvURJ
captcha_0244.wav,pRi9BZ
captcha_0245.wav,YBJEkV
captcha_0246.wav,ZaNZ2R
captcha_0247.wav,Gr9F7g
captcha_0248.wav,ThB9ZF
captcha_0249.wav,jAgf6c
captcha_0250.wav,IvBiSc
captcha_0251.wav,kQBIUY
captcha_0252.wav,TNg8QE
captcha_0253.wav,hO4zPd
captcha_0254.wav,OZcRZ4
captcha_0255.wav,4ifoVx
captcha_0256.wav,JBOZCD
captcha_0257.wav,WnkcWa
captcha_0258.wav,i58rOK
captcha_0259.wav,3vfU8O
captcha_0260.wav,AUuV8K
captcha_0261.wav,iwB6ZH
captcha_0262.wav,cDlpL2
captcha_0263.wav,efzzc6
captcha_0264.wav,8tPaEF
captcha_0265.wav,mTZNUS
captcha_0266.wav,DOfHBt
captcha_0267.wav,Ncbvd4
captcha_0268.wav,abuQPZ
captcha_0269.wav,fcFhiX
captcha_0270.wav,VGPrab
captcha_0271.wav,ZnEpRC
captcha_0272.wav,OkbtrE
captcha_0273.wav,O9xZOr
captcha_0274.wav,7CXOKO
captcha_0275.wav,hLONJn
captcha_0276.wav,HOJMhE
captcha_0277.wav,7JBpxA
captcha_0278.wav,VDTgwz
captcha_0279.wav,Mlw3up
captcha_0280.wav,KGEIMT
captcha_0281.wav,I4eJET
captcha_0282.wav,SLMAxQ
captcha_0283.wav,QiMSgQ
captcha_0284.wav,qJHXgJ
captcha_0285.wav,2CMhox
captcha_0286.wav,KdVZTM
captcha_0287.wav,jlaODa
captcha_0288.wav,ddyCmt
captcha_0289.wav,QgJs37
captcha_0290.wav,QPNA4v
captcha_0291.wav,22r9iy
captcha_0292.wav,XioNIS
captcha_0293.wav,inuLwM
captcha_0294.wav,VPc62H
captcha_0295.wav,cKg6RE
captcha_0296.wav,aerD4w
captcha_0297.wav,wBZ3ev
captcha_0298.wav,NeO1 88
captcha_0299.wav,VENzRs
captcha_0300.wav,jC1iOU
captcha_0301.wav,ek75Jv
captcha_0302.wav,m2VAFq
captcha_0303.wav,'ShD8
captcha_0304.wav,6LAwZm
captcha_0305.wav,KOZVZZ
captcha_0306.wav,glgcOQ
captcha_0307.wav,TIX8jl
captcha_0308.wav,SLpCno
captcha_0309.wav,b3hFuq
captcha_0310.wav,kJWuvb
captcha_0311.wav,h413LC
captcha_0312.wav,OsxmMW
captcha_0313.wav,DsL26U
captcha_0314.wav,CMgGXt
captcha_0315.wav,RUARoJ
captcha_0316.wav,NzZHSB
captcha_0317.wav,kD3pFe
captcha_0318.wav,PHWIQb
captcha_0319.wav,Ymijrc
captcha_0320.wav,kDAngl
captcha_0321.wav,xmzvro
captcha_0322.wav,yrguyo
captcha_0323.wav,gCmbWu
captcha_0324.wav,VPAmzZ
captcha_0325.wav,rYOTxp
captcha_0326.wav,Idq335
captcha_0327.wav,WlxQHd
captcha_0328.wav,i2zfxy
captcha_0329.wav,VgggKv
captcha_0330.wav,jAD6X
captcha_0331.wav,oomKrj
captcha_0332.wav,CsKK23
captcha_0333.wav,ymNItH
captcha_0334.wav,GJZPKP
captcha_0335.wav,VjqIM
captcha_0336.wav,hppLXO
captcha_0337.wav,fqIRiD
captcha_0338.wav,b4ylug
captcha_0339.wav,c3q5Ka
captcha_0340.wav,SPOvQv
captcha_0341.wav,EPdrFK
captcha_0342.wav,dLDtbm
captcha_0343.wav,cgZeNQ
captcha_0344.wav,tkwmzi
captcha_0345.wav,JnMWej
captcha_0346.wav,VSZvdn
captcha_0347.wav,zgqbMS
captcha_0348.wav,QJ3uQa
captcha_0349.wav,allfis
captcha_0350.wav,WNdOKO
captcha_0351.wav,SzKPbY
captcha_0352.wav,2xszi2
captcha_0353.wav,LSnhr4
captcha_0354.wav,IdnR9O
captcha_0355.wav,PeEpl2
captcha_0356.wav,ZOYSna
captcha_0357.wav,WBZoSk
captcha_0358.wav,Lrhqsy
captcha_0359.wav,wlvoiw
captcha_0360.wav,ugFREY
captcha_0361.wav,V6kZkw
captcha_0362.wav,kyFNNC
captcha_0363.wav,hVkoSh
captcha_0364.wav,EfLuar
captcha_0365.wav,MiPOd5
captcha_0366.wav,jOiiSt
captcha_0367.wav,bbtKKe
captcha_0368.wav,dKjcCu
captcha_0369.wav,Ickofo
captcha_0370.wav,DxpdAJ
captcha_0371.wav,XGv9Nu
captcha_0372.wav,hq7ofl
captcha_0373.wav,A6fDdx
captcha_0374.wav,G9O/Wf
captcha_0375.wav,mAIUmg
captcha_0376.wav,xrDmyY
captcha_0377.wav,MfFAri
captcha_0378.wav,g2SfAF
captcha_0379.wav,6vqOde
captcha_0380.wav,XofpMf
captcha_0381.wav,DFaskh
captcha_0382.wav,YFNaSP
captcha_0383.wav,3xIFW8
captcha_0384.wav,TwBTJr
captcha_0385.wav,XbwCDr
captcha_0386.wav,6fHtXY
captcha_0387.wav,AqHJJS
captcha_0388.wav,ntISlb
captcha_0389.wav,TrUSiF
captcha_0390.wav,Jrjxfz
captcha_0391.wav,9FxkyD
captcha_0392.wav,vlZwsz
captcha_0393.wav,XQfFK2
captcha_0394.wav,9yFsjG
captcha_0395.wav,VK2W3s
captcha_0396.wav,9gydUH
captcha_0397.wav,ZQLovO
captcha_0398.wav,QvWQtD
captcha_0399.wav,kaniv2
captcha_0400.wav,iZNVBY
captcha_0401.wav,OEVChJ
captcha_0402.wav,D6sSmV
captcha_0403.wav,BHZciz
captcha_0404.wav,hIrBES
captcha_0405.wav,JRrtzd
captcha_0406.wav,CaD9G9
captcha_0407.wav,VbOlvr
captcha_0408.wav,VVza1X
captcha_0409.wav,ZoIzlh
captcha_0410.wav,QSLxmk
captcha_0411.wav,FExis2
captcha_0412.wav,HFirdm
captcha_0413.wav,IMSALk
captcha_0414.wav,hEYOjX
captcha_0415.wav,RaZfsw
captcha_0416.wav,SsIYNF
captcha_0417.wav,iYhox3
captcha_0418.wav,7CQAdM
captcha_0419.wav,gcuMog
captcha_0420.wav,tcyoqt
captcha_0421.wav,f1JMER
captcha_0422.wav,KxZbiw
captcha_0423.wav,bRqovo
captcha_0424.wav,4THMIK
captcha_0425.wav,sBQZhk
captcha_0426.wav,6SFXDN
captcha_0427.wav,ArWSK3
captcha_0428.wav,AwtFlv
captcha_0429.wav,4CZ4HE
captcha_0430.wav,30309u
captcha_0431.wav,hwGfv4
captcha_0432.wav,O7UWWW
captcha_0433.wav,olUbke
captcha_0434.wav,NhTmIo
captcha_0435.wav,ZZWUWQ
captcha_0436.wav,u4GxyF
captcha_0437.wav,ZOWxLN
captcha_0438.wav,RZpSjG
captcha_0439.wav,rPCDwz
captcha_0440.wav,CZwJOD
captcha_0441.wav,QdBoBI
captcha_0442.wav,OCD1Ns
captcha_0443.wav,THYNQ8
captcha_0444.wav,EJtomg
captcha_0445.wav,BFSW8g
captcha_0446.wav,XByljq
captcha_0447.wav,SDRsYL
captcha_0448.wav,LnEOkE
captcha_0449.wav,JPNSSY
captcha_0450.wav,DxgTCI
captcha_0451.wav,gUbobj
captcha_0452.wav,Qoyo6R
captcha_0453.wav,VBUOIn
captcha_0454.wav,zazLDJ
captcha_0455.wav,oVBAeb
captcha_0456.wav,R3gDwJ
captcha_0457.wav,vOMNL9
captcha_0458.wav,Apnlpo
captcha_0459.wav,MsuoXJ
captcha_0460.wav,Jf9BX3
captcha_0461.wav,xslbSd
captcha_0462.wav,sa HTh
captcha_0463.wav,laMak2
captcha_0464.wav,SircDG
captcha_0465.wav,Dln2sQ
captcha_0466.wav,O3ULXD
captcha_0467.wav,tRQaHD
captcha_0468.wav,3z 7iyc
captcha_0469.wav,hqxybH
captcha_0470.wav,FVxRlw
captcha_0471.wav,3ofAox
captcha_0472.wav,8gxbDf
captcha_0473.wav,8 JiRu2
captcha_0474.wav,ATFtby
captcha_0475.wav,4KWmkx
captcha_0476.wav,bv3eZy
captcha_0477.wav,OmOMMG
captcha_0478.wav,P9b TbY
captcha_0479.wav,aFaBQe
captcha_0480.wav,DxSUNR
captcha_0481.wav,xsnVkv
captcha_0482.wav,SrDKUb
captcha_0483.wav,Qhzoai
captcha_0484.wav,iQIRbJ
captcha_0485.wav,O4ttBL
captcha_0486.wav,IKSZmo
captcha_0487.wav,n8k3Q0
captcha_0488.wav,DMOYNo
captcha_0489.wav,O9PijJ
captcha_0490.wav,MRUGLm
captcha_0491.wav,pygTt7
captcha_0492.wav,smDQnq
captcha_0493.wav,GLIWMF
captcha_0494.wav,Sr8mWE
captcha_0495.wav,ewdAPg
captcha_0496.wav,xjHOnw
captcha_0497.wav,xa9oHE
captcha_0498.wav,61/Vrg
captcha_0499.wav,IBM4e 
captcha_0500.wav,dd24kD
captcha_0501.wav,PpSUpE
captcha_0502.wav,ZkNZGW
captcha_0503.wav,AxgoQe
captcha_0504.wav,2oeseb
captcha_0505.wav,ZWVBDj
captcha_0506.wav,xbQaUp
captcha_0507.wav,qxj075
captcha_0508.wav,miDmwk
captcha_0509.wav,ZuqZav
captcha_0510.wav,Q89Ppg
captcha_0511.wav,XPbfpU
captcha_0512.wav,fZSHYt
captcha_0513.wav,XORIDJ
captcha_0514.wav,mbwVoH
captcha_0515.wav,CGVxv9
captcha_0516.wav,j6gChm
captcha_0517.wav,FHOBaF
captcha_0518.wav,~gokic2
captcha_0519.wav,8OF7OR
captcha_0520.wav,27aDz5
captcha_0521.wav,KsaVVj
captcha_0522.wav,74CxHV
captcha_0523.wav,SIZAoU
captcha_0524.wav,PXbON2
captcha_0525.wav,vHfyBa
captcha_0526.wav,vDmLYH
captcha_0527.wav,FX3nHo
captcha_0528.wav,zh4kzo
captcha_0529.wav,OMqN3z
captcha_0530.wav,goQsSu
captcha_0531.wav,WS603F
captcha_0532.wav,0ko202
captcha_0533.wav,613Bj
captcha_0534.wav,sWO4il
captcha_0535.wav,qJWj1
captcha_0536.wav,ZEIHHc
captcha_0537.wav,TToGEA
captcha_0538.wav,Ugrodm
captcha_0539.wav,HDPhB
captcha_0540.wav,dooigi
captcha_0541.wav,q3u3ts
captcha_0542.wav,lic73Y
captcha_0543.wav,NYinr2
captcha_0544.wav,dwLuXy
captcha_0545.wav,ITiYLv
captcha_0546.wav,yQyLi8
captcha_0547.wav,B2SjG1
captcha_0548.wav,BIROSD
captcha_0549.wav,CWpM4W
captcha_0550.wav,FZQcB4
captcha_0551.wav,NND9hH
captcha_0552.wav,GQ4w98
captcha_0553.wav,LIZQE2
captcha_0554.wav,EnIrUQ
captcha_0555.wav,{xROSC
captcha_0556.wav,u911j6
captcha_0557.wav,gTppzy
captcha_0558.wav,UNfj1/
captcha_0559.wav,lilhl6
captcha_0560.wav,IiDDCB
captcha_0561.wav,[Thxvw
captcha_0562.wav,bMz9uv
captcha_0563.wav,mSzuix
captcha_0564.wav,OPYq5b
captcha_0565.wav,f8c7rh
captcha_0566.wav,Va2zys
captcha_0567.wav,KORiLf
captcha_0568.wav,QfBip9
captcha_0569.wav,DUXZal
captcha_0570.wav,SV98Qw
captcha_0571.wav,etUNL4
captcha_0572.wav,pbbL44
captcha_0573.wav,vKysP5
captcha_0574.wav,Hb3YzQ
captcha_0575.wav,kWChR8
captcha_0576.wav,psOSds
captcha_0577.wav,NI9Ecf
captcha_0578.wav,zZbKSo
captcha_0579.wav,adEIJZ
captcha_0580.wav,rugyrF
captcha_0581.wav,FTmik7
captcha_0582.wav,BQCQVM
captcha_0583.wav,QPTN6
captcha_0584.wav,gKWPy
captcha_0585.wav,hsMXKz
captcha_0586.wav,nALw2q
captcha_0587.wav,KtJDft
captcha_0588.wav,6ANyjT
captcha_0589.wav,QeqLLO
captcha_0590.wav,ZyOrNN
captcha_0591.wav,fplloq
captcha_0592.wav,pSOk8M
captcha_0593.wav,GBQZMu
captcha_0594.wav,LpWIOY
captcha_0595.wav,cWsGuv
captcha_0596.wav,KFapU9
captcha_0597.wav,AsbiyT
captcha_0598.wav,kUdZne
captcha_0599.wav,OSIWSP
captcha_0600.wav,003F9Y
captcha_0601.wav,Q6kvBm
captcha_0602.wav,kvRVXf
captcha_0603.wav,niZamv
captcha_0604.wav,LzhnLI
captcha_0605.wav,MvSzuX
captcha_0606.wav,VJVdKu
captcha_0607.wav,ps84iP
captcha_0608.wav,ad7JSv
captcha_0609.wav,qnelof
captcha_0610.wav,KTbnPE
captcha_0611.wav,PfGAxn
captcha_0612.wav,LTP93N
captcha_0613.wav,bFLQkU
captcha_0614.wav,KRTZcC
captcha_0615.wav,ctfSbl
captcha_0616.wav,99shQa
captcha_0617.wav,Ipoztr
captcha_0618.wav,RmGCda
captcha_0619.wav,nJlaua
captcha_0620.wav,zliAZn
captcha_0621.wav,hSb8zn
captcha_0622.wav,pCySwk
captcha_0623.wav,kKvA6C
captcha_0624.wav,J3ACpT
captcha_0625.wav,LaGPzF
captcha_0626.wav,T6ZBJB
captcha_0627.wav,IpTZHe
captcha_0628.wav,TWhA4T
captcha_0629.wav,03SWBp
captcha_0630.wav,6a6d6y
captcha_0631.wav,ds2OgA
captcha_0632.wav,Pgpqox
captcha_0633.wav,3789Zs_
captcha_0634.wav,EkX Jko
captcha_0635.wav,ILjHT2
captcha_0636.wav,y9Lelt
captcha_0637.wav,pSTYkk
captcha_0638.wav,q9RLKO
captcha_0639.wav,3QDEWi
captcha_0640.wav,sDglCu
captcha_0641.wav,fDYPml
captcha_0642.wav,DTvzGD
captcha_0643.wav,rmglfh
captcha_0644.wav,69cLme
captcha_0645.wav,uqOalD
captcha_0646.wav,a83Hjs
captcha_0647.wav,TGNodC
captcha_0648.wav,KSqpxv
captcha_0649.wav,QlaVoA
captcha_0650.wav,wqjSOE
captcha_0651.wav,n8XXel
captcha_0652.wav,HZGOz5
captcha_0653.wav,514nT5
captcha_0654.wav,Oe TKID
captcha_0655.wav,mbRN3n
captcha_0656.wav,4TxNWq
captcha_0657.wav,cNMjtp
captcha_0658.wav,Gxlm9a
captcha_0659.wav,VhnPL8
captcha_0660.wav,Sigsqu
captcha_0661.wav,qAXJh
captcha_0662.wav,Kwzboz
captcha_0663.wav,OotDhg
captcha_0664.wav,Qjdlne
captcha_0665.wav,iZz Jiv
captcha_0666.wav,OS6sgJ
captcha_0667.wav,N91HV4
captcha_0668.wav,{7x6oo
captcha_0669.wav,T8qJAN
captcha_0670.wav,InWVCn
captcha_0671.wav,GzN9MR
captcha_0672.wav,OUxZYm
captcha_0673.wav,FpRAC2
captcha_0674.wav,cWEbCh
captcha_0675.wav,NheaC6
captcha_0676.wav,SASRCD
captcha_0677.wav,kiJTpq
captcha_0678.wav,kOBXt?
captcha_0679.wav,SEUi8N
captcha_0680.wav,EAQRXY
captcha_0681.wav,4sbDsH
captcha_0682.wav,aYNoUR
captcha_0683.wav,M6FRFX
captcha_0684.wav,y3QOgw
captcha_0685.wav,WCtvWW
captcha_0686.wav,Mh4Lmz
captcha_0687.wav,3HOEDL
captcha_0688.wav,GMZmal
captcha_0689.wav,KwvGL5
captcha_0690.wav,mCCCX9
captcha_0691.wav,RAu8Uq
captcha_0692.wav,hTazKG
captcha_0693.wav,vxk89U
captcha_0694.wav,n?JuRN
captcha_0695.wav,ZQwRV8
captcha_0696.wav,nPlvid
captcha_0697.wav,8CpYpc
captcha_0698.wav,RIxivl
captcha_0699.wav,Etl8b9
captcha_0700.wav,80E8v5
captcha_0701.wav,FOBVng
captcha_0702.wav,DZGtiJ
captcha_0703.wav,CloqzF
captcha_0704.wav,a8FMXc
captcha_0705.wav,MYgWAA
captcha_0706.wav,79AXZS
captcha_0707.wav,jtsdQf
captcha_0708.wav,YyPZ2M
captcha_0709.wav,3BySSF
captcha_0710.wav,NRxsyM
captcha_0711.wav,GTnjsh
captcha_0712.wav,WJ8170
captcha_0713.wav,2mdMYM
captcha_0714.wav,OnCV2J
captcha_0715.wav,LStrZr
captcha_0716.wav,eOmWLI
captcha_0717.wav,1XEPnD
captcha_0718.wav,yq1LDK
captcha_0719.wav,CEUWma
captcha_0720.wav,bCZkSJ
captcha_0721.wav,NEBPcm
captcha_0722.wav,mBRdLA
captcha_0723.wav,ezUBFb
captcha_0724.wav,frS7Bo
captcha_0725.wav,WwOYoA
captcha_0726.wav,UbsST4
captcha_0727.wav,cZYKPd
captcha_0728.wav,~zH8YzD
captcha_0729.wav,mzWj78
captcha_0730.wav,qOMy9A
captcha_0731.wav,TW3buE
captcha_0732.wav,UOzEk4
captcha_0733.wav,PuldD}
captcha_0734.wav,FPbwy4
captcha_0735.wav,oVofly
captcha_0736.wav,ODXxAc
captcha_0737.wav,rOzMJ2
captcha_0738.wav,25rGzt
captcha_0739.wav,uZZpik
captcha_0740.wav,Fldiak
captcha_0741.wav,KOpWru
captcha_0742.wav,J4pwh
captcha_0743.wav,xxCh9b
captcha_0744.wav,3iXswo
captcha_0745.wav,58iei8
captcha_0746.wav,OLyUSM
captcha_0747.wav,ZCItLZ
captcha_0748.wav,HagRDk
captcha_0749.wav,rJfas2
captcha_0750.wav,2rTlwZ
captcha_0751.wav,TMZTSp
captcha_0752.wav,AceNZt
captcha_0753.wav,Logj8a
captcha_0754.wav,ElfhVB
captcha_0755.wav,s4S9t3
captcha_0756.wav,BBc3K5
captcha_0757.wav,kU379F
captcha_0758.wav,PSMvBI
captcha_0759.wav,kzdSqz
captcha_0760.wav,iAbht3
captcha_0761.wav,PzwY 3h
captcha_0762.wav,ulaVfn
captcha_0763.wav,FyMAxA
captcha_0764.wav,GSVx7Q
captcha_0765.wav,ZkxU94
captcha_0766.wav,Oz4nJr
captcha_0767.wav,5114CQ
captcha_0768.wav,vHkPex
captcha_0769.wav,IACXZU
captcha_0770.wav,97zkap
captcha_0771.wav,JACXqv
captcha_0772.wav,fzqOnv
captcha_0773.wav,TYprML
captcha_0774.wav,4q2n4o
captcha_0775.wav,6 Izpld
captcha_0776.wav,ZCvCun
captcha_0777.wav,S4d8YW
captcha_0778.wav,5SeZYo
captcha_0779.wav,61Gr3g
captcha_0780.wav,eXLIZp
captcha_0781.wav,j5Pg29
captcha_0782.wav,8YaCzs
captcha_0783.wav,rUWaBL
captcha_0784.wav,~flsjqb
captcha_0785.wav,O5Moq
captcha_0786.wav,vgkpkJ
captcha_0787.wav,mYCApf
captcha_0788.wav,VVagkc
captcha_0789.wav,OrksUd
captcha_0790.wav,ayHQmV
captcha_0791.wav,IBZVfE
captcha_0792.wav,QDRRnl
captcha_0793.wav,wiv2Xf
captcha_0794.wav,8RwrMK
captcha_0795.wav,GTAIBP
captcha_0796.wav,QXtcrK
captcha_0797.wav,Fzreis
captcha_0798.wav,6q1UsH
captcha_0799.wav,jeZhzz
captcha_0800.wav,HSMtnz
captcha_0801.wav,3IUPW4
captcha_0802.wav,pTVEoh
captcha_0803.wav,zTlxia
captcha_0804.wav,SaCdQi
captcha_0805.wav,e5yYrW
captcha_0806.wav,qXr3xF
captcha_0807.wav,VSyVbV
captcha_0808.wav,rJQnIF
captcha_0809.wav,lytbQ1
captcha_0810.wav,OFZnoQ
captcha_0811.wav,HKCVxA
captcha_0812.wav,aEphB1
captcha_0813.wav,7MxgcM
captcha_0814.wav,HbJCLA
captcha_0815.wav,uQZHgb
captcha_0816.wav,9gaERa
captcha_0817.wav,6dy8ri
captcha_0818.wav,vbc9KD
captcha_0819.wav,Ft84mk
captcha_0820.wav,OFaZqk
captcha_0821.wav,IETyDJ
captcha_0822.wav,ndQZ8A
captcha_0823.wav,8kTha9
captcha_0824.wav,Qeccti
captcha_0825.wav,PeUjok
captcha_0826.wav,ahsigv
captcha_0827.wav,9KOGs4
captcha_0828.wav,OzZijB
captcha_0829.wav,ISRMRJ
captcha_0830.wav,riiwFq
captcha_0831.wav,RiRUCL
captcha_0832.wav,B3pyXp
captcha_0833.wav,MiDmJ3
captcha_0834.wav,iDssCY
captcha_0835.wav,fZTwco
