image_path,extracted_text
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0040.png,D843gi
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0041.png,iMosE9
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0042.png,axV9Zu
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0043.png,pctUXg
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0044.png,OLYA9D
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0045.png,rxRNZQ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0046.png,HCPfpd
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0047.png,hRTbgx
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0048.png,jvTZMN
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0049.png,4OPnyT
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0050.png,zTwwMt
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0051.png,KTbMHX
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0052.png,vY7bIH
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0053.png,7k64LI
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0054.png,KfiyRI
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0055.png,aZPcWY
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0056.png,wtSbio
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0057.png,X3mrtJ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0058.png,0OaH23
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0059.png,HFXeQu
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0060.png,DtGigt
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0061.png,xgZdqX
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0062.png,33iCFi
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0063.png,OHL838
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0064.png,LLru64
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0065.png,HZEPui
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0066.png,aTxHWZ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0067.png,StJ6SF
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0068.png,945DFC
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0069.png,BFxKBy
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0070.png,Upixrl
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0071.png,XHVCFM
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0072.png,tEEcmq
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0073.png,IHkSz
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0074.png,avEICK
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0075.png,uilam3
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0076.png,rbtJGV
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0077.png,fCAAYC
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0078.png,YLEaOA
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0079.png,B178bw
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0080.png,FZTbaX
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0081.png,2kidVs
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0082.png,vov94Z
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0083.png,nwLjIH
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0084.png,UKgghq
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0085.png,M6qARY
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0086.png,gXEZhv
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0087.png,aulGLO
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0088.png,WSLIqE
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0089.png,tkOAME
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0090.png,KKfPNV
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0091.png,ETDHr5
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0092.png,HWsUGb
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0093.png,BCBrVj
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0094.png,NdoSRo
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0095.png,GHuczX
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0096.png,vOgBle
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0097.png,gNals3
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0098.png,6Wpe5a
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0099.png,elOMvj
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0100.png,G1SuxQ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0101.png,rH4Q78
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0102.png,Njt4eg
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0103.png,VeBMDb
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0104.png,6J2zJC
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0105.png,W32gIE
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0106.png,FeHmGo
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0107.png,OGgPbG
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0108.png,WskuLQ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0109.png,HIfLDF
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0110.png,muuoNp
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0111.png,IhbZhR
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0112.png,fUo67h
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0113.png,L8zz4L
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0114.png,r323Hu
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0115.png,E9MepT
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0116.png,XVxDXk
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0117.png,BhCq3B
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0118.png,bPHyZd
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0119.png,YKZBJX
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0120.png,JhHzFO
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0121.png,9VliqR
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0122.png,NKiKik
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0123.png,QIbBQV
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0124.png,qmYkky
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0125.png,MimPDx
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0126.png,VDggSF
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0127.png,BFaHSd
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0128.png,NZNJhj
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0129.png,OPMeVx
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0130.png,igwKGU
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0131.png,fSOFL2
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0132.png,hzzGxc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0133.png,XGfuSB
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0134.png,NQWZ9f
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0135.png,gwea Je
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0136.png,3aqHrb
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0137.png,2DBOI1
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0138.png,exBs48
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0139.png,dokmQs
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0140.png,AyiivH
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0141.png,tFQhXE
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0142.png,sSew9s
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0143.png,khfLbu
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0144.png,Rsn3Gl
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0145.png,zZYgd2
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0146.png,douT1N
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0147.png,fSvc2R
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0148.png,Mqfczc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0149.png,iMRDrw
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0150.png,yRAUyA
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0151.png,YZ9RYI
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0152.png,MRipMR
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0153.png,WSX9HC
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0154.png,t4klLC
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0155.png,hYipAR
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0156.png,Lab4pU
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0157.png,ODCreM
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0158.png,HBANAN
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0159.png,UBSQMf
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0160.png,XEIoUl
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0161.png,saQjc3
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0162.png,pfosbn
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0163.png,sRUrF3
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0164.png,OUBi p
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0165.png,o6ZLab
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0166.png,Is9Que
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0167.png,Hiae3L
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0168.png,Zuavsu
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0169.png,SUHkys
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0170.png,OtSR92
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0171.png,IBomog
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0172.png,pe4Paw
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0173.png,qZpjsB
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0174.png,yRSHHo
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0175.png,04aq2Z
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0176.png,9ReKRt
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0177.png,VDOHTL
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0178.png,TqsQAv
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0179.png,AucWsM
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0180.png,IlnJIQ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0181.png,vlYhU
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0182.png,buYzGR
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0183.png,9JYnlm
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0184.png,9hkTW4
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0185.png,BcNtLJ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0186.png,8bdi9p
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0187.png,fx3gs5
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0188.png,Ogkv8s
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0189.png,IrqZpy
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0190.png,bmlDZs
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0191.png,ZBDXDV
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0192.png,FZ6cCn
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0193.png,EFJL7O
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0194.png,pMvOCU
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0195.png,CtVkok
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0196.png,SFawyz
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0197.png,sYz4PI
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0198.png,271Gqy
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0199.png,YT4jew
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0200.png,RxLLLn
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0201.png,bjIBYE
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0202.png,bMZXbg
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0203.png,j8b8Nz
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0204.png,K8lqlu
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0205.png,6gZHZN
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0206.png,UNDear
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0207.png,CcWRWX
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0208.png,KiRsyz
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0209.png,xZiqUlv
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0210.png,PhIKNs
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0211.png,GuETMe
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0212.png,91Nqlu
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0213.png,smgOXx
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0214.png,igrmOB
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0215.png,LfwfY4
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0216.png,Syrfcy
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0217.png,cXOylb
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0218.png,pZSPco
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0219.png,KDEal5
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0220.png,AtBsBp
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0221.png,RORFJ7
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0222.png,w3VyHh
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0223.png,OWGbUA
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0224.png,ZXwQHU
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0225.png,a?TUxe
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0226.png,IgKAvP
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0227.png,MYUZZ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0228.png,gCxNje
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0229.png,HLyFbK
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0230.png,Th1WyH
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0231.png,YoVfao
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0232.png,uUnAfc_
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0233.png,rbeONs
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0234.png,dsefy6
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0235.png,ITcAhr
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0236.png,VY6RzC
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0237.png,vJPtP3
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0238.png,AddBoO
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0239.png,WFAAON
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0240.png,Cazbzc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0241.png,pQtpo8
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0242.png,03rSGK
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0243.png,YvvURJ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0244.png,pRi9BZ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0245.png,YBJEkV
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0246.png,ZaNZ2R
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0247.png,Gr9F7g
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0248.png,ThB9ZF
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0249.png,jAgf6c
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0250.png,IvBiSc
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0251.png,kQBIUY
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0252.png,TNg8QE
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0253.png,hO4zPd
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0254.png,OZcRZ4
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0255.png,4ifoVx
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0256.png,JBOZCD
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0257.png,WnkcWa
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0258.png,i58rOK
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0259.png,3vfU8O
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0260.png,AUuV8K
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0261.png,iwB6ZH
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0262.png,cDlpL2
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0263.png,efzzc6
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0264.png,8tPaEF
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0265.png,mTZNUS
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0266.png,DOfHBt
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0267.png,Ncbvd4
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0268.png,abuQPZ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0269.png,fcFhiX
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0270.png,VGPrab
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0271.png,ZnEpRC
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0272.png,OkbtrE
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0273.png,O9xZOr
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0274.png,7CXOKO
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0275.png,hLONJn
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0276.png,HOJMhE
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0277.png,7JBpxA
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0278.png,VDTgwz
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0279.png,Mlw3up
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0280.png,KGEIMT
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0281.png,I4eJET
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0282.png,SLMAxQ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0283.png,QiMSgQ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0284.png,qJHXgJ
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0285.png,2CMhox
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0286.png,KdVZTM
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0287.png,jlaODa
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0288.png,ddyCmt
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0289.png,QgJs37
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0290.png,QPNA4v
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0291.png,22r9iy
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0292.png,XioNIS
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0293.png,inuLwM
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0294.png,VPc62H
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0295.png,cKg6RE
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0296.png,aerD4w
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0297.png,wBZ3ev
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0298.png,NeO1 88
C:/Users/nazih/Desktop/Decoding-Audio-Captchas/images\captcha_0299.png,VENzRs
